,time,"('susceptible', '0-4')","('susceptible', '5-9')","('susceptible', '10-14')","('susceptible', '15-19')","('susceptible', '20-24')","('susceptible', '25-29')","('susceptible', '30-34')","('susceptible', '35-39')","('susceptible', '40-44')","('susceptible', '45-49')","('susceptible', '50-54')","('susceptible', '55-59')","('susceptible', '60-64')","('susceptible', '65-69')","('susceptible', '70+')",susceptible,"('exposed', '0-4')","('exposed', '5-9')","('exposed', '10-14')","('exposed', '15-19')","('exposed', '20-24')","('exposed', '25-29')","('exposed', '30-34')","('exposed', '35-39')","('exposed', '40-44')","('exposed', '45-49')","('exposed', '50-54')","('exposed', '55-59')","('exposed', '60-64')","('exposed', '65-69')","('exposed', '70+')",exposed,"('infected (active)', '0-4')","('infected (active)', '5-9')","('infected (active)', '10-14')","('infected (active)', '15-19')","('infected (active)', '20-24')","('infected (active)', '25-29')","('infected (active)', '30-34')","('infected (active)', '35-39')","('infected (active)', '40-44')","('infected (active)', '45-49')","('infected (active)', '50-54')","('infected (active)', '55-59')","('infected (active)', '60-64')","('infected (active)', '65-69')","('infected (active)', '70+')",infected (active),"('infected (total)', '0-4')","('infected (total)', '5-9')","('infected (total)', '10-14')","('infected (total)', '15-19')","('infected (total)', '20-24')","('infected (total)', '25-29')","('infected (total)', '30-34')","('infected (total)', '35-39')","('infected (total)', '40-44')","('infected (total)', '45-49')","('infected (total)', '50-54')","('infected (total)', '55-59')","('infected (total)', '60-64')","('infected (total)', '65-69')","('infected (total)', '70+')",infected (total),"('removed', '0-4')","('removed', '5-9')","('removed', '10-14')","('removed', '15-19')","('removed', '20-24')","('removed', '25-29')","('removed', '30-34')","('removed', '35-39')","('removed', '40-44')","('removed', '45-49')","('removed', '50-54')","('removed', '55-59')","('removed', '60-64')","('removed', '65-69')","('removed', '70+')",removed,"('hospitalized (active)', '0-4')","('hospitalized (active)', '5-9')","('hospitalized (active)', '10-14')","('hospitalized (active)', '15-19')","('hospitalized (active)', '20-24')","('hospitalized (active)', '25-29')","('hospitalized (active)', '30-34')","('hospitalized (active)', '35-39')","('hospitalized (active)', '40-44')","('hospitalized (active)', '45-49')","('hospitalized (active)', '50-54')","('hospitalized (active)', '55-59')","('hospitalized (active)', '60-64')","('hospitalized (active)', '65-69')","('hospitalized (active)', '70+')",hospitalized (active),"('in ICU', '0-4')","('in ICU', '5-9')","('in ICU', '10-14')","('in ICU', '15-19')","('in ICU', '20-24')","('in ICU', '25-29')","('in ICU', '30-34')","('in ICU', '35-39')","('in ICU', '40-44')","('in ICU', '45-49')","('in ICU', '50-54')","('in ICU', '55-59')","('in ICU', '60-64')","('in ICU', '65-69')","('in ICU', '70+')",in ICU,"('deaths', '0-4')","('deaths', '5-9')","('deaths', '10-14')","('deaths', '15-19')","('deaths', '20-24')","('deaths', '25-29')","('deaths', '30-34')","('deaths', '35-39')","('deaths', '40-44')","('deaths', '45-49')","('deaths', '50-54')","('deaths', '55-59')","('deaths', '60-64')","('deaths', '65-69')","('deaths', '70+')",deaths
0,0.0,255668.076,305980.713,307589.7,295187.645,311118.504,351772.465,346221.834,355731.05199999997,341970.825,310914.897,352591.854,367026.645,358180.524,356603.04,873439.686,5489997.46,255.924,306.28700000000003,926.475,1186.684,2197.608,3201.165,3507.82,3968.602,3464.75,2829.357,2490.558,1475.484,1078.857,356.96,874.314,28120.844999999998,0.0,0.0,308.825,296.671,627.888,711.37,1052.346,1082.346,1039.425,628.746,711.588,368.871,359.619,0.0,0.0,7187.695,85.308,102.09566666666667,308.825,395.5613333333333,732.5360000000001,1067.055,1169.2733333333333,1322.8673333333334,1154.9166666666667,943.119,830.186,491.828,359.61899999999997,118.98666666666666,291.438,9373.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.21149014586871,130.26092449176107,340.072361385914,467.02648062630846,840.1428999486295,1210.599119894337,1323.7570724187533,1493.8484452736013,1307.8554192467354,1073.3252601344516,1343.428681978733,812.679953551019,605.2722949416755,388.63658487984475,850.2686015544762,12300.385590472108,0.0,0.0,10.294166666666666,9.889033333333334,20.9296,23.712333333333333,35.078199999999995,36.078199999999995,34.647499999999994,20.958199999999998,23.7196,12.2957,11.987300000000001,0.0,0.0,239.58983333333333,0.0,0.0,0.0,0.7120103999999999,1.3185648,1.9206990000000002,2.3385466666666668,2.645734666666667,2.3098333333333336,1.886238,4.981116,2.950968,3.9558089999999995,3.6885866666666667,11.074644,39.78275053333333
1,1.0,255409.73575338896,305722.35128343775,307332.11325046676,294930.3212870949,310862.208606326,351516.67448491085,345966.56205347873,355476.03608123795,341715.554223598,310659.1187085203,352335.54618534417,366769.29932645086,357922.92201157333,356344.66279423836,873181.2533851841,5486144.359435251,406.93108951754743,443.03733393475056,886.7508788660343,1072.9709506205152,1796.4400807287673,2515.083772135539,2734.3628764846635,3064.3061740560292,2703.5008059264196,2248.660552118511,2006.3592546368043,1279.925218636691,995.9512491128959,479.36024936248316,850.1111157794725,23483.751601917127,100.58413207786897,113.83679835742265,544.6261033988538,602.5190959307389,1155.4918899811655,1491.8374786981556,1868.0382894737281,2015.2463173086521,1845.5052619938133,1322.3864029810798,1305.127688333769,741.0947203454901,628.7522991745508,127.17051728543234,263.29446134319903,14125.511456683918,220.95169650584916,249.7747779782502,604.4086262886781,753.218316873505,1331.3493602429226,1905.4162573785131,2080.727625494888,2344.302724685343,2056.0836019754734,1692.672517372837,1498.9724182122682,918.4697395455637,691.6027497042986,278.77341645416107,574.8083719264907,17201.53220063904,6.749025015632553,7.774584270155145,61.50976726831619,65.18866635382551,129.8594229640605,161.4042642554769,213.03678056288408,226.4114273973213,210.4397084817646,142.83433638000136,146.96687168525858,80.6807345669735,71.3744401392423,8.806439113672107,19.34103769321999,1552.3775061478048,145.75237892486416,163.49370760508612,381.5839378461854,516.1062625792242,903.9754244583222,1289.1434940938436,1406.7495247711759,1583.5912623211798,1390.2133422549591,1146.3906144391765,1439.9763015126498,888.2499636860708,672.6169552033509,478.07618538693936,958.1916732056238,13364.111028288651,0.0,0.0,12.352999999999998,11.86684,25.11552,28.4548,42.09383999999999,43.293839999999996,41.57699999999999,25.149839999999998,28.46352,14.75484,14.384760000000002,0.0,0.0,287.50780000000003,0.0,0.0,0.0,1.4240207999999999,2.6371296,3.8413980000000003,4.6770933333333335,5.291469333333334,4.619666666666667,3.772476,9.962232,5.901936,7.911617999999999,7.377173333333333,22.149288,79.56550106666666
2,2.0,255011.27591810984,305323.7740583668,306934.7280655221,294533.3592271498,310466.80875573115,351122.00498284725,345572.69776597014,355082.55659120384,341321.69633531757,310264.5160530771,351940.07840880676,366372.21717315825,357525.45349082776,355946.0008651723,872782.2883457601,5480199.456037021,633.2630053697803,659.2373340223687,976.1498862043479,1109.2190650371974,1626.2684179869727,2140.574225222881,2297.0039339841765,2533.08895778401,2274.8846752419645,1949.6149512427794,1776.741721458482,1257.6137263812889,1054.4685439754946,685.3382149117734,951.2589692668334,21924.725628090353,248.43216844143885,269.4341197461239,759.4576314013262,858.582442373068,1528.078768719316,2008.6285958740639,2392.3332009387746,2606.702240610547,2364.6790572508494,1791.6297021477355,1713.0337789920804,1033.175642662115,861.1258407830395,290.55952105797326,506.1447539178798,19231.99746491633,432.0393649624426,469.52055598570644,929.7919216901273,1122.9580052192375,1873.4388329052467,2618.9409991194734,2846.395603489613,3188.665710613346,2814.3784937227947,2342.5441677870967,2091.2196586984287,1337.6743150059933,1043.0922643627969,507.21948809141884,891.8946950154352,24509.774076669153,31.02890807891895,34.55448786479546,154.66441687222317,169.839265439899,322.84405756257377,413.79219605582057,519.9650991069063,559.6522104015854,513.7399321896407,367.23929353230767,364.14609074266195,207.99345779834448,177.952124413737,38.10139885787915,74.30793105515647,3949.8208699724505,187.93551483011152,206.19065126560076,430.1569372578864,571.7891416109351,970.1522692680066,1365.8319385566233,1486.5826937993954,1668.2430363929307,1469.5907773193076,1219.1419538736832,1538.1268660126907,971.4906640160651,749.9901515589331,591.9835133440873,1085.46601929055,14512.672128396805,0.0,0.0,14.41183333333333,13.844646666666666,29.30144,33.197266666666664,49.10947999999999,50.509479999999996,48.50649999999999,29.341479999999997,33.20744,17.21398,16.782220000000002,0.0,0.0,335.4257666666667,0.0,0.0,0.0,2.1360311999999997,3.9556944000000005,5.762097000000001,7.01564,7.937204,6.929500000000001,5.658714,14.943348,8.852904,11.867427,11.065760000000001,33.223932,119.3482516
3,3.0,254504.01401626377,304816.21450299124,306428.68031592946,294027.8807846181,309963.27713368,350619.3180344067,345071.0453728952,354581.3763016372,340820.06017335586,309761.99864583765,351436.37450823485,365866.4341473576,357019.19438024214,355438.2264810062,872273.7448376751,5472627.839636131,887.4787848816943,906.3486303634102,1132.1339034619464,1226.994548822894,1595.813112742316,1963.609354987666,2074.8113088105615,2243.570426189463,2058.9480752055915,1826.6338576181254,1703.7815211867671,1333.5884141479737,1188.43518108839,925.2372466251169,1116.4455688049763,22183.82993493689,452.10352198410214,477.1811732890202,985.1443444792291,1106.0068703781674,1822.147327751788,2373.9237043085927,2747.563632912736,2995.4452238231834,2717.769100264176,2135.548163533076,2022.0929558069763,1296.4398415116584,1093.9110516646324,502.38869906314136,759.3371665640482,23487.00277733453,727.8656265896741,771.6367661068432,1307.169889510776,1531.9561881602021,2405.376537152685,3273.477450782029,3537.9993730931337,3936.522519343167,3500.694518791325,2951.422120326472,2659.146832427351,1782.2037863886512,1439.2373247255935,815.6319036331245,1264.0432179504273,31904.38405498146,80.40367687041564,87.25569335638417,279.04143612934035,310.1177961808289,562.762425825926,728.1489062971,888.5796853815335,961.6080483501271,878.2226511743967,648.8193330110787,631.7510147713365,374.5375969827513,317.4593870048757,94.14757330549104,164.47242695580093,7007.327651597387,239.89228796023235,258.545541420218,486.6581046435511,635.3267339067319,1041.1234492255642,1444.3063216397154,1567.2608196899987,1752.354032892807,1549.9405718784592,1294.7766495480087,1641.8489495679146,1064.6713167657929,838.9952387147572,731.0291399548535,1234.2940164546565,15781.02317426326,0.0,0.0,16.470666666666663,15.822453333333332,33.48736,37.93973333333333,56.12511999999999,57.72512,55.435999999999986,33.53312,37.95136,19.67312,19.17968,0.0,0.0,383.3437333333333,0.0,0.0,0.0,2.8480415999999997,5.2742592,7.682796000000001,9.354186666666667,10.582938666666667,9.239333333333335,7.544952,19.924464,11.803872,15.823235999999998,14.754346666666667,44.298576,159.1310021333333
4,4.0,253901.51332113615,304213.14407975116,305827.3971817478,293427.31855911517,309364.96601974376,350021.8859728729,344474.8559315459,353985.72166707274,340223.901811788,309164.89120343473,350837.73353436374,365265.2887532441,356417.506557884,354834.74473530374,871668.7896194167,5463629.65894842,1150.449161052201,1164.4620998322175,1324.7181657736637,1392.0719757927725,1654.4211202421109,1917.2111115694922,1995.8292257054868,2116.294351793771,1984.4358766087091,1818.7834858626666,1732.0687852948397,1468.953535235193,1365.4093474514505,1178.351668522221,1316.6311663957893,23580.091077132587,709.2838777585687,736.0620709671981,1235.5607206725565,1365.1929485623255,2082.723059399049,2657.6900814044516,3010.6756038082635,3269.8852432421204,2980.669616717825,2414.966197620054,2284.5016286878586,1558.3965218241326,1344.7140775924001,762.9371682028459,1036.1800202459315,27449.438836705584,1111.3486802737411,1159.790799384249,1748.7426114353307,1995.9801800911264,2956.8502439000554,3912.547821305193,4203.2757816616295,4641.953969941091,4162.173144327561,3557.683282280694,3236.503094192298,2271.8549648003823,1894.373773876077,1208.4157931405314,1702.9202734156904,39764.41441402565,162.7536400530549,173.33174944948627,437.32393180595244,486.4165165297155,841.8898006151276,1088.2128341532728,1300.6392389403304,1410.0987378913842,1285.9926948855684,974.3591130824664,939.6960516535445,578.3611896965508,491.37001707218525,183.9664279711348,292.3991939413929,10646.811137741166,301.80382853894554,320.78832334125667,551.7994793949206,707.7140999614453,1118.7436058338685,1527.2776770861046,1651.7541093659058,1839.286147553986,1634.1958628712925,1375.6846771651599,1754.130280571683,1169.5636084026348,940.926214663396,895.9415439278552,1406.530010586204,17196.139469264657,0.0,0.0,18.529499999999995,17.800259999999998,37.673280000000005,42.682199999999995,63.140759999999986,64.94076,62.36549999999998,37.724759999999996,42.695280000000004,22.132260000000002,21.57714,0.0,0.0,431.2617,0.0,0.0,0.0,3.5600519999999998,6.592824,9.603495,11.692733333333333,13.228673333333333,11.549166666666668,9.43119,24.90558,14.75484,19.779044999999996,18.442933333333333,55.373219999999996,198.91375266666668
5,5.0,253207.14828478533,303517.83048516914,305134.1320931494,292734.94470351737,308675.10379034444,349332.8689631388,343787.289695202,353298.7367229334,339536.3873453686,308476.4148702395,350147.3219001132,364571.943616583,355723.5674377803,354138.74607005046,870970.3351401419,5453252.771118517,1417.0029035487498,1427.8606405804696,1540.9409286999457,1588.4398073949214,1774.2794989389406,1961.8595770773027,2016.953147265084,2102.7749124969087,2008.7448639787895,1890.867391858137,1830.3897097980673,1644.3644602893119,1570.6780086321894,1438.403033904478,1539.5999706631687,25753.15885512646,1014.5057447890518,1041.531648892504,1516.414113401473,1646.3876330745206,2337.0717654656346,2904.517771038149,3230.9959299389066,3487.312210572661,3201.979884793088,2668.137271209484,2532.491489218618,1834.228166097892,1621.8320944127663,1068.574207217192,1342.1497132045756,31448.12964332652,1583.6829814566577,1635.7443462444057,2262.389587668646,2525.4601158894334,3548.276743546369,4566.501013664294,4875.593497416658,5342.878940773394,4831.7547656538245,4187.972412900073,3846.6329974583205,2819.976451563486,2417.9331100868067,1687.8834711086906,2216.1202636367466,48348.80069906781,285.3430668768273,299.7772253579393,633.5128647490935,701.2278560131227,1157.5449452510718,1485.7536887458841,1746.7612275939648,1893.1761539970234,1727.88790585954,1337.580466692797,1283.7969008700413,820.4637570297772,702.9224591747534,314.27668882782075,461.9151759902331,14851.940383029889,374.0030544894114,393.292056774795,626.2991469920779,789.8896281411564,1204.5677560147308,1616.9174607302818,1742.4189185094963,1931.6768512177,1724.686135037631,1463.8042189195278,1877.4366231034687,1287.7645251915756,1057.0372452636968,1087.8017230333935,1604.0973964672467,18781.692739886188,0.0,0.0,20.588333333333328,19.778066666666664,41.85920000000001,47.42466666666666,70.15639999999999,72.15639999999999,69.29499999999999,41.916399999999996,47.43920000000001,24.591400000000004,23.9746,0.0,0.0,479.1796666666667,0.0,0.0,0.0,4.272062399999999,7.9113888,11.524194000000001,14.031279999999999,15.874407999999999,13.859000000000002,11.317428000000001,29.886696,17.705808,23.734853999999995,22.13152,66.447864,238.6965032
6,6.0,252418.2579470329,302727.48186420265,304346.0961151,291948.0000587806,307890.9048101755,348549.41126013844,343005.5046492955,352517.5663513701,338754.6819316786,307693.7887534276,349362.2779102994,363783.5051453368,354934.4947775045,353347.34380702185,870175.1528202898,5441454.468201655,1688.4965612376322,1697.5304160283267,1776.582947764621,1809.6841513678364,1940.5039152076076,2074.283886159732,2112.3322418976795,2173.3028665294746,2106.3822748208354,2022.7006904287778,1981.4352530076778,1851.040440650153,1798.7819285053904,1705.990385927604,1781.7516634298033,28520.79962296316,1362.5945289442861,1389.0744719789311,1830.1680015381494,1955.185664805696,2602.433636048662,3143.584805289509,3440.8636477501664,3685.551808362787,3413.539976877809,2919.882052006977,2786.7146483938877,2132.9343951393303,1929.5151832422823,1415.431753075341,1679.7193568495745,35687.19393030339,2146.5151685358683,2201.587818253848,2854.5839035901863,3128.6881663453787,4195.111381948905,5257.928975717538,5579.704244715884,6067.313229616552,5533.882190594103,4862.205976376333,4507.111415127546,3436.9899317802037,3017.52708625527,2256.5469330845585,2810.0374847800144,57855.733906722184,454.65096278516626,472.9132477901467,872.152935597191,958.1301250458098,1510.1576385683502,1917.7200484124808,2223.2994610566643,2405.5789737376585,2200.3958166227962,1736.62850413651,1663.5721882989862,1103.520018873756,956.2081107478731,491.23405397519264,677.3761594305536,19643.538245079137,457.01023055006976,476.61231224909324,710.9593075507438,882.8377364556402,1300.0229482447994,1715.0979271275435,1841.2589133323959,2031.7317928097593,1823.395408465127,1560.8362898927771,2013.9838403140216,1420.8708134461385,1188.6787847732753,1308.1567325936812,1829.1921883826562,20560.64522618772,0.0,0.0,20.588333333333328,19.778066666666664,41.85920000000001,47.42466666666666,70.15639999999999,72.15639999999999,69.29499999999999,41.916399999999996,47.43920000000001,24.591400000000004,23.9746,0.0,0.0,479.1796666666667,0.0,0.0,0.0,4.984072799999999,9.2299536,13.444893000000002,16.369826666666665,18.520142666666665,16.168833333333335,13.203666000000002,34.867812,20.656776,27.690662999999994,25.820106666666664,77.52250799999999,278.47925373333334
7,7.0,251528.41135672797,301835.50271630706,303456.7066800937,291059.94259670435,307005.80609463,347664.86781212006,342122.87919565843,351635.5755405757,337872.1730013675,306810.4620072132,348475.94285479333,362893.2621341179,354043.58857969946,352453.82311368815,869276.0966663235,5428135.040350022,1969.0697986490698,1977.3745481874093,2031.8091162861076,2054.388204492779,2145.6037545215568,2240.99459110443,2266.6202285897634,2309.767591592852,2262.25680415846,2202.988543859198,2175.994279972691,2085.898531569543,2049.0181870641345,1984.76047350557,2043.8005435969926,31800.34519715056,1749.9942650867613,1775.6131181647538,2178.423710339596,2295.3238394114414,2890.411031128885,3394.6371533475103,3662.0846821928894,3890.1510235611104,3636.8172345158723,3186.9785124925093,3061.09590633467,2460.5856155102288,2270.5904701737627,1800.8950597407877,2050.678500408748,40304.280122409524,2802.871768085558,2860.7126676496514,3531.853609018889,3813.4842345096386,4910.31263345609,6004.927172752348,6335.244320912471,6837.235760147503,6287.967791980256,5596.535490996065,5232.4428417851095,4132.289442303385,3700.5331486099817,2918.1337575864154,3491.3043326456786,68455.84897243905,676.5245795361483,698.5096173408785,1158.0604932805793,1261.3453593913803,1902.1791197196733,2384.500443428157,2730.4158935589035,2946.505844270325,2703.752959958249,2172.570936434982,2080.9669588992733,1431.2537188023466,1255.80276306263,720.5213530654986,943.4242896705389,25066.334330419562,551.5383337343617,571.495652199406,806.7025415438649,987.6409389068534,1406.5099390027967,1823.5433242331019,1950.0911762342769,2141.413504715687,1932.1261908084884,1668.3772497793277,2165.9029663535407,1570.574085131125,1337.365116739256,1559.0496874822718,2084.3801657052913,22556.71087256965,0.0,0.0,20.588333333333328,19.778066666666664,41.85920000000001,47.42466666666666,70.15639999999999,72.15639999999999,69.29499999999999,41.916399999999996,47.43920000000001,24.591400000000004,23.9746,0.0,0.0,479.1796666666667,0.0,0.0,0.0,5.696083199999999,10.5485184,15.365592000000003,18.70837333333333,21.16587733333333,18.47866666666667,15.089904000000002,39.848928,23.607744,31.646471999999992,29.50869333333333,88.597152,318.2620042666666
8,8.0,250528.63301599107,300832.7090830563,302456.7986956067,290061.6594368717,306010.6714927283,346670.0000106119,341130.2061170183,350643.5408681365,336879.6647925718,305817.3155160861,347479.05916265614,361891.88713431166,353041.53480527597,351448.84867993597,868263.2833040102,5413155.812114869,2263.8320743815916,2272.370603844497,2308.9134697818004,2323.7027078620895,2386.3798057517156,2454.5116599315415,2470.9998705724847,2501.3735398014755,2467.731835687404,2425.801774331232,2409.6567743038718,2348.934498609937,2323.0859913455,2279.534581658147,2328.5668129180303,35565.396000781315,2175.0933225156446,2199.894580783906,2562.9996711426256,2670.053992222854,3209.4763960545647,3671.63117264069,3909.9114217279775,4118.878322006171,3886.8372889057173,3481.3840688897467,3365.6718227945853,2822.0244684650993,2647.7149995960986,2224.049140486661,2457.174616003433,45402.79528423577,3557.4824595460886,3618.1695355978172,4301.491432279489,4588.051803797001,5705.772568706662,6823.097726062862,7158.910944436633,7671.026940081329,7110.545070542724,6405.136082439809,6035.661766553067,4915.267608506697,4474.895145725149,3677.978618139131,4267.493270285022,80310.98097269947,956.4415871116314,982.025732315425,1496.2881634688986,1615.5838630433616,2337.472305465493,2888.8571568159887,3270.8825906812035,3518.207270055868,3240.7660828351227,2648.4986406927906,2539.612240245407,1808.1538986133169,1606.664203782439,1007.5675979191745,1264.9752670682446,31181.996600114355,658.4861890365237,678.875430910749,914.5875673706962,1105.505908078549,1525.464984373455,1943.927466735932,2070.6544557113757,2262.5659160566906,2052.606157743441,1788.0027144674032,2335.343208944689,1738.7137323873806,1504.8074274436576,1843.0150057877556,2372.6433669470835,24795.199531995382,0.6705608805191265,0.7589119890494844,22.160340689325686,21.81705397287159,45.37655926654111,52.62778319132103,75.5943485964915,78.37573544872434,74.66886841329207,46.54066935320719,51.396131255558466,27.072891468969935,25.768821994497007,2.967312069993422,18.430612294023934,544.226600884386,0.0,0.0,0.0,6.408093599999998,11.867083200000001,17.286291000000002,21.046919999999997,23.811611999999997,20.788500000000003,16.976142000000003,44.830044,26.558712,35.60228099999999,33.19728,99.671796,358.04475479999996
9,9.0,249408.0592724815,299707.9732457823,301335.2668131435,288942.11089923204,304894.42976622545,345553.6056084784,340016.3219464449,349530.277775032,335766.0083735439,304703.2986067518,346360.4015780722,360768.06831938686,351917.03917646914,350321.10081762495,867124.6961962762,5396348.658394946,2578.0391777534164,2587.7274531903463,2611.179108903303,2620.0800612803305,2662.1747689499302,2711.134927638963,2720.8065725470237,2742.042797648189,2718.2695585840324,2688.5239971637625,2680.92575363857,2641.822441499762,2623.8764464584856,2595.4443609164546,2639.875627475538,39821.923053648105,2638.1182485626637,2662.4292382515378,2986.3622286266123,3082.7823754762467,3566.418175075275,3984.9867647618903,4195.534385867183,4384.585500802696,4174.64118762102,3812.1894129157827,3708.27265030867,3221.740277524494,3063.931086536018,2685.661862884001,2902.1243005359192,51069.77769575,4416.82885213056,4480.745353327933,5171.884468580591,5461.411824223778,6593.164158356639,7726.809368609183,8065.8464686189745,8585.041205964058,8016.634923404068,7301.310748161063,6929.30368443259,5795.875089006618,5349.520627877977,4543.1267384446155,5147.451812776868,93584.9553239155,1299.783301202342,1328.8700627759465,1892.1918493266621,2026.026664011356,2820.9772897493817,3435.2726991208287,3849.3370951408024,4125.0939265171,3816.0808802510437,3168.9879831685425,3044.4000179804684,2239.3689615888634,2014.1532905363802,1357.792958574572,1647.3038757122274,38065.640855656515,778.9277309870283,799.8634802102199,1035.8152650506036,1237.776292451818,1658.3984452548186,2077.938324663915,2204.68138058389,2396.998296421327,2186.5592109027716,1921.3220261860308,2524.5381949902894,1927.3073810523704,1692.9299453630933,2163.0620221248237,2697.40421759331,27303.52221383631,2.3267753367953854,2.555139454023644,25.164558232001195,25.56313025535871,51.37783105800321,61.27617383048146,84.52759660275001,88.538110386128,83.50389546163106,54.29322736752543,58.072436448839,31.50158908671737,29.112200933050605,9.747034228012799,53.86074506827552,661.4204437495933,0.0,0.0,0.0,7.120103999999998,13.185648000000002,19.20699,23.385466666666662,26.457346666666663,23.098333333333336,18.86238,49.81116,29.50968,39.55808999999999,36.885866666666665,110.74644,397.82750533333336
